City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Mataura,NZ,75.47,broken clouds,-46.1927,168.8643,Ellie's Villa
12,Carnarvon,AU,81.54,clear sky,-24.8667,113.6333,Hospitality Carnarvon
13,Souillac,MU,79.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Rikitea,PF,78.01,broken clouds,-23.1203,-134.9692,People ThankYou
28,Sao Filipe,CV,75.04,overcast clouds,14.8961,-24.4956,Hotel Xaguate
30,Sampit,ID,76.39,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
38,Atuona,PF,78.46,few clouds,-9.8,-139.0333,Villa Enata
40,Kahului,US,76.96,broken clouds,20.8947,-156.47,Maui Seaside Hotel
47,Saint-Philippe,RE,78.39,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Hobart,AU,83.05,scattered clouds,-42.8794,147.3294,Mantra on Collins Hobart
55,Kapaa,US,76.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
57,Caravelas,BR,78.71,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
59,Cape Town,ZA,75.11,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
60,Hithadhoo,MV,82.11,scattered clouds,-0.6,73.0833,Scoop Guest House
65,Butaritari,KI,81.45,light rain,3.0707,172.7902,Isles Sunset Lodge
72,Bengkulu,ID,75.85,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
77,Hilo,US,77.25,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
85,Maragogi,BR,78.89,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
95,Flinders,AU,89.06,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
96,East London,ZA,77.18,overcast clouds,-33.0153,27.9116,Tu Casa
97,New Norfolk,AU,82.71,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
102,Bluff,NZ,75.79,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
105,Vaini,TO,80.1,light rain,-21.2,-175.2,Keleti Beach Resort
106,Bali,ID,81.57,overcast clouds,-8.5,115.0,Pondok Pitaya
108,Panacan,PH,80.82,broken clouds,9.2463,118.4082,Mom's Place Resort
112,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
120,Mayumba,GA,77.68,broken clouds,-3.432,10.6554,LIKWALE LODGE
124,Piojo,CO,75.56,few clouds,10.7485,-75.1078,Reserva Natural Los Charcones - Lomita el paso del conejo
125,Bonfim,BR,84.63,overcast clouds,3.0833,-59.95,
126,Vao,NC,77.88,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
128,Ballina,AU,86.77,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
131,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
133,Alofi,NU,78.87,overcast clouds,-19.0595,-169.9187,Taloa Heights
134,Ugoofaaru,MV,82.29,few clouds,5.6667,73.0,Ungoofaaru Inn
139,Vila Velha,BR,78.75,moderate rain,-20.3297,-40.2925,Quality Suites Vila Velha
143,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
149,Mount Isa,AU,85.77,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
151,Banda Aceh,ID,76.89,overcast clouds,5.5577,95.3222,Sulthan Hotel International
155,Bandarbeyla,SO,76.44,broken clouds,9.4942,50.8122,JABIR HOTEL
157,Qandala,SO,75.47,scattered clouds,11.472,49.8728,
158,Bosaso,SO,75.29,scattered clouds,11.2842,49.1816,Red Sea Hotel
160,Kavaratti,IN,80.46,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
163,Cordoba,AR,76.42,few clouds,-31.4135,-64.1811,Hotel Sussex
170,Saint-Pierre,RE,78.48,few clouds,-21.3393,55.4781,Lindsey Hôtel
172,Tuatapere,NZ,75.81,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
174,Kimbe,PG,82.24,light rain,-5.5502,150.1429,Kimbe Bay Hotel
183,Cruz Do Espirito Santo,BR,77.94,scattered clouds,-7.14,-35.0864,Pousada Bora Amar
185,Gladstone,AU,85.93,broken clouds,-23.85,151.25,Highpoint International Hotel
188,Bowen,AU,83.8,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
189,Iralaya,HN,78.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
190,Tevaitoa,PF,80.92,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
196,Manaure,CO,77.7,clear sky,11.7751,-72.4445,Hotel Palaaima
197,Kavieng,PG,80.92,moderate rain,-2.5744,150.7967,Nusa Island Retreat
