City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,46.11,81,99,21.45,light rain
1,Ribeira Grande,PT,38.5167,-28.7,59.83,75,14,14.32,few clouds
2,Vardo,NO,70.3705,31.1107,22.51,80,56,8.79,broken clouds
3,Qasigiannguit,GL,68.8193,-51.1922,-0.44,93,100,12.95,overcast clouds
4,Ossora,RU,59.2353,163.0719,19.96,94,100,13.98,snow
5,Bereda,ES,43.2686,-7.5406,47.91,99,27,6.35,scattered clouds
6,Sur,OM,22.5667,59.5289,72.0,59,0,5.79,clear sky
7,Mataura,NZ,-46.1927,168.8643,75.47,50,65,1.88,broken clouds
8,Porto Novo,BJ,6.4965,2.6036,73.47,79,60,4.41,broken clouds
9,Busselton,AU,-33.65,115.3333,64.04,53,1,17.31,clear sky
10,Pevek,RU,69.7008,170.3133,-17.48,97,92,0.81,overcast clouds
11,Kodiak,US,57.79,-152.4072,32.04,82,88,5.01,overcast clouds
12,Carnarvon,AU,-24.8667,113.6333,81.54,61,1,19.13,clear sky
13,Souillac,MU,-20.5167,57.5167,79.36,78,75,14.97,broken clouds
14,Bredasdorp,ZA,-34.5322,20.0403,74.28,96,23,5.93,few clouds
15,Barrow,US,71.2906,-156.7887,-14.78,76,0,8.05,clear sky
16,Rikitea,PF,-23.1203,-134.9692,78.01,67,66,4.72,broken clouds
17,Ystad,SE,55.4297,13.8204,29.98,65,86,8.88,overcast clouds
18,Sorland,NO,67.667,12.6934,34.09,56,100,10.71,overcast clouds
19,Vanavara,RU,60.34,102.2797,-11.22,100,91,1.97,overcast clouds
20,Mchinji,MW,-13.7984,32.8802,61.41,96,5,2.24,clear sky
21,Ghedi,IT,45.4011,10.2793,45.48,51,0,11.5,clear sky
22,Moron,AR,-34.6534,-58.6198,72.97,52,6,4.0,clear sky
23,Sabha,LY,27.0377,14.4283,49.28,45,0,9.53,clear sky
24,Dores Do Indaia,BR,-19.4633,-45.6017,69.6,93,100,3.42,overcast clouds
25,Qaanaaq,GL,77.484,-69.3632,-21.96,53,0,11.34,clear sky
