City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Norman Wells,CA,2022-01-29 01:46:42,65.282,-126.8329,-7.56,71,100,8.05
1,Vaini,TO,2022-01-29 01:50:37,-21.2,-175.2,82.72,78,100,17.58
2,Leningradskiy,RU,2022-01-29 01:47:26,69.3833,178.4167,-11.29,93,20,3.06
3,Anori,BR,2022-01-29 01:50:38,-3.7728,-61.6442,73.94,96,100,1.12
4,Ushuaia,AR,2022-01-29 01:50:38,-54.8,-68.3,53.26,76,75,5.75
5,Ostrovnoy,RU,2022-01-29 01:50:39,68.0531,39.5131,12.88,93,99,8.55
6,Fairbanks,US,2022-01-29 01:48:28,64.8378,-147.7164,6.76,56,40,4.61
7,Henties Bay,NA,2022-01-29 01:50:39,-22.116,14.2845,62.85,83,97,6.62
8,Beringovskiy,RU,2022-01-29 01:46:39,63.05,179.3167,-0.69,98,97,2.53
9,Bredasdorp,ZA,2022-01-29 01:50:40,-34.5322,20.0403,61.29,88,94,3.44
10,Hambantota,LK,2022-01-29 01:50:40,6.1241,81.1185,71.94,100,20,3.44
11,Tasiilaq,GL,2022-01-29 01:50:41,65.6145,-37.6368,4.71,70,43,6.35
12,Qaanaaq,GL,2022-01-29 01:50:41,77.484,-69.3632,-12.66,62,94,7.52
13,Longyearbyen,SJ,2022-01-29 01:50:42,78.2186,15.6401,6.64,78,0,16.11
14,Faya,SA,2022-01-29 01:50:42,18.3851,42.4509,52.32,89,41,5.64
15,Esmeralda,CU,2022-01-29 01:50:43,21.8525,-78.1169,71.26,75,0,0.63
16,Clarence Town,AU,2022-01-29 01:50:43,-32.5833,151.7833,87.64,32,0,6.49
17,Victoria,HK,2022-01-29 01:46:42,22.2855,114.1577,65.32,88,99,11.01
18,Sao Joao Da Barra,BR,2022-01-29 01:50:44,-21.6403,-41.0511,76.59,90,41,18.88
19,Saldanha,ZA,2022-01-29 01:50:44,-33.0117,17.9442,59.05,82,0,13.24
20,Kaitangata,NZ,2022-01-29 01:48:22,-46.2817,169.8464,63.93,74,99,3.83
21,Albany,US,2022-01-29 01:49:59,42.6001,-73.9662,23.09,74,100,1.01
22,Neryungri,RU,2022-01-29 01:50:45,56.6709,124.6491,-2.51,90,100,15.32
23,Rikitea,PF,2022-01-29 01:50:46,-23.1203,-134.9692,78.17,69,99,14.09
24,Georgetown,MY,2022-01-29 01:50:46,5.4112,100.3354,84.13,89,20,3.0
25,Kaohsiung,TW,2022-01-29 01:50:46,22.6163,120.3133,66.15,96,75,1.99
26,East London,ZA,2022-01-29 01:50:47,-33.0153,27.9116,66.25,78,1,9.51
27,Mataura,NZ,2022-01-29 01:50:47,-46.1927,168.8643,71.47,23,99,7.83
28,Yeppoon,AU,2022-01-29 01:50:48,-23.1333,150.7333,85.78,65,60,17.54
29,Port Alfred,ZA,2022-01-29 01:50:48,-33.5906,26.891,66.52,79,83,6.51
30,Arraial Do Cabo,BR,2022-01-29 01:50:48,-22.9661,-42.0278,75.16,94,40,2.3
31,Tayshet,RU,2022-01-29 01:50:49,55.9342,98.0044,-14.28,100,65,2.71
32,Atuona,PF,2022-01-29 01:50:49,-9.8,-139.0333,77.59,77,0,12.77
33,Bonthe,SL,2022-01-29 01:50:50,7.5264,-12.505,77.65,84,9,4.74
34,Marsh Harbour,BS,2022-01-29 01:50:50,26.5412,-77.0636,73.8,67,100,20.58
35,Hilo,US,2022-01-29 01:50:50,19.7297,-155.09,78.53,70,100,12.66
36,Blackpool,GB,2022-01-29 01:50:51,53.8167,-3.05,53.35,88,100,22.77
37,Hobart,AU,2022-01-29 01:50:51,-42.8794,147.3294,68.27,79,75,1.01
38,Iqaluit,CA,2022-01-29 01:46:08,63.7506,-68.5145,-20.47,69,75,19.57
39,Kapaa,US,2022-01-29 01:50:52,22.0752,-159.319,80.58,67,0,1.99
40,Nikolskoye,RU,2022-01-29 01:50:52,59.7035,30.7861,26.49,95,100,6.62
41,Lompoc,US,2022-01-29 01:50:53,34.6391,-120.4579,62.74,35,20,4.61
